Date,Open,High,Low,Close,Adj Close,Volume
2016-12-28,226.570,226.590,224.270,224.400,212.003,64095000
2016-12-29,224.480,224.890,223.840,224.350,211.956,48696100
2016-12-30,224.730,224.830,222.730,223.530,211.181,108998300
2017-01-03,225.040,225.830,223.880,225.240,212.797,91366500
2017-01-04,225.620,226.750,225.610,226.580,214.062,78744400
2017-01-05,226.270,226.580,225.480,226.400,213.892,78379000
2017-01-06,226.530,227.750,225.900,227.210,214.658,71559900
2017-01-09,226.910,227.070,226.420,226.460,213.949,46939700
2017-01-10,226.480,227.450,226.010,226.460,213.949,63771900
2017-01-11,226.360,227.100,225.590,227.100,214.554,74650000
2017-01-12,226.500,226.750,224.960,226.530,214.015,72113200
2017-01-13,226.730,227.400,226.690,227.050,214.507,62717900
2017-01-17,226.310,226.780,225.800,226.250,213.751,61240800
2017-01-18,226.540,226.800,225.900,226.750,214.223,54793300
2017-01-19,226.840,227.000,225.410,225.910,213.430,66608800
2017-01-20,226.700,227.310,225.970,226.740,214.214,129168600
2017-01-23,226.740,226.810,225.270,226.150,213.656,75061600
2017-01-24,226.400,228.080,226.270,227.600,215.026,95555300
2017-01-25,228.700,229.570,228.510,229.570,216.887,84437700
2017-01-26,229.400,229.710,229.010,229.330,216.661,59970700
2017-01-27,229.420,229.590,228.760,228.970,216.320,59711100
2017-01-30,228.170,228.200,226.410,227.550,214.979,79737300
2017-01-31,226.980,227.600,226.320,227.530,214.960,75880800
2017-02-01,227.530,228.590,226.940,227.620,215.045,79117700
2017-02-02,227.620,228.100,226.820,227.770,215.187,69657600
2017-02-03,228.820,229.550,228.460,229.340,216.670,80563200
2017-02-06,228.870,229.330,228.540,228.930,216.283,57790100
2017-02-07,229.380,229.660,228.720,228.940,216.292,57931200
2017-02-08,228.940,229.390,228.310,229.240,216.576,51566200
2017-02-09,229.240,230.950,229.240,230.600,217.860,65955200
2017-02-10,231.000,231.770,230.620,231.510,218.720,66015900
2017-02-13,232.080,233.070,232.050,232.770,219.911,55182100
2017-02-14,232.560,233.710,232.160,233.700,220.789,71109000
2017-02-15,233.450,235.140,233.390,234.920,221.942,86785800
2017-02-16,234.950,235.160,233.850,234.720,221.753,84722400
2017-02-17,233.950,235.090,233.930,235.090,222.102,77204100
2017-02-21,235.520,236.690,235.510,236.490,223.425,88946100
2017-02-22,236.020,236.540,235.830,236.280,223.227,62115200
2017-02-23,236.880,236.900,235.560,236.440,223.378,74615900
2017-02-24,235.460,236.790,235.410,236.740,223.661,82381600
2017-02-27,236.640,237.310,236.350,237.110,224.011,56515400
2017-02-28,236.670,236.950,236.020,236.470,223.406,96961900
